datetime,IF.CFFEX
2023-02-03,-118815.9180000008
2023-02-06,-118815.9180000008
2023-02-07,-118815.9180000008
2023-02-08,-118815.9180000008
2023-02-09,-118815.9180000008
2023-02-10,-118815.9180000008
2023-02-13,-118815.9180000008
2023-02-14,-118815.9180000008
2023-02-15,-118815.9180000008
2023-02-16,-118815.9180000008
2023-02-17,-118815.9180000008
2023-02-20,-118815.9180000008
2023-02-21,-111683.11800000255
2023-02-22,-111203.1180000008
2023-02-23,-109283.11800000037
2023-02-24,-108803.1180000008
2023-02-27,-112643.11800000058
2023-02-28,-117923.11800000124
2023-03-01,-117443.11800000168
2023-03-02,-113603.1180000008
2023-03-03,-117443.11800000168
2023-03-06,-116003.1180000008
2023-03-07,-113123.11800000124
2023-03-08,-116483.11800000037
2023-03-09,-109283.11800000037
2023-03-10,-114563.11800000104
2023-03-13,-112643.1180000006
2023-03-14,-108323.11800000016
2023-03-15,-113123.11800000016
2023-03-16,-134703.19800000085
2023-03-17,-134703.19800000085
2023-03-20,-134703.19800000085
2023-03-21,-134703.19800000085
2023-03-22,-134703.19800000085
2023-03-23,-134703.19800000085
2023-03-24,-134703.19800000085
2023-03-27,-134703.19800000085
2023-03-28,-134703.19800000085
2023-03-29,-134703.19800000085
2023-03-30,-134703.19800000085
2023-03-31,-134703.19800000085
2023-04-03,-134703.19800000085
2023-04-04,-134703.19800000085
2023-04-06,-134703.19800000085
2023-04-07,-134703.19800000085
2023-04-10,-134703.19800000085
2023-04-11,-134703.19800000085
2023-04-12,-134703.19800000085
2023-04-13,-134703.19800000085
2023-04-14,-134703.19800000085
2023-04-17,-134703.19800000085
2023-04-18,-134703.19800000085
2023-04-19,-134703.19800000085
2023-04-20,-134703.19800000085
2023-04-21,-134703.19800000085
2023-04-24,-134703.19800000085
2023-04-25,-134703.19800000085
2023-04-26,-134703.19800000085
2023-04-27,-134703.19800000085
2023-04-28,-134703.19800000085
2023-05-04,-134703.19800000085
2023-05-05,-134703.19800000085
2023-05-08,-134703.19800000085
2023-05-09,-134703.19800000085
2023-05-10,-134703.19800000085
2023-05-11,-134703.19800000085
2023-05-12,-134703.19800000085
2023-05-15,-134703.19800000085
2023-05-16,-134703.19800000085
2023-05-17,-134703.19800000085
2023-05-18,-134703.19800000085
2023-05-19,-134703.19800000085
2023-05-22,-134703.19800000085
2023-05-23,-134703.19800000085
2023-05-24,-134703.19800000085
2023-05-25,-134703.19800000085
2023-05-26,-134703.19800000085
2023-05-29,-134703.19800000085
2023-05-30,-134703.19800000085
2023-05-31,-134703.19800000085
2023-06-01,-134703.19800000085
2023-06-02,-134703.19800000085
2023-06-05,-134703.19800000085
2023-06-06,-134703.19800000085
2023-06-07,-134703.19800000085
2023-06-08,-134703.19800000085
2023-06-09,-134703.19800000085
2023-06-12,-134703.19800000085
2023-06-13,-134703.19800000085
2023-06-14,-134703.19800000085
2023-06-15,-134703.19800000085
2023-06-16,-134703.19800000085
2023-06-19,-134703.19800000085
2023-06-20,-134703.19800000085
2023-06-21,-134703.19800000085
2023-06-26,-134703.19800000085
2023-06-27,-134703.19800000085
2023-06-28,-134703.19800000085
2023-06-29,-134703.19800000085
2023-06-30,-134703.19800000085
2023-07-03,-134703.19800000085
2023-07-04,-134703.19800000085
2023-07-05,-134703.19800000085
2023-07-06,-134703.19800000085
2023-07-07,-134703.19800000085
2023-07-10,-134703.19800000085
2023-07-11,-134703.19800000085
2023-07-12,-134703.19800000085
2023-07-13,-134703.19800000085
2023-07-14,-134703.19800000085
2023-07-17,-134703.19800000085
2023-07-18,-134703.19800000085
2023-07-19,-134703.19800000085
2023-07-20,-134703.19800000085
2023-07-21,-134703.19800000085
2023-07-24,-134703.19800000085
2023-07-25,-134703.19800000085
2023-07-26,-134703.19800000085
2023-07-27,-134703.19800000085
2023-07-28,-134703.19800000085
2023-07-31,-134703.19800000085
2023-08-01,-134703.19800000085
2023-08-02,-134703.19800000085
2023-08-03,-134703.19800000085
2023-08-04,-134703.19800000085
2023-08-07,-134703.19800000085
