datetime,IC.CFFEX
2023-02-02,-70277.53599999854
2023-02-03,-70277.53599999854
2023-02-06,-70277.53599999854
2023-02-07,-70277.53599999854
2023-02-08,-70277.53599999854
2023-02-09,-70277.53599999854
2023-02-10,-70277.53599999854
2023-02-13,-70277.53599999854
2023-02-14,-70277.53599999854
2023-02-15,-70277.53599999854
2023-02-16,-70277.53599999854
2023-02-17,-70277.53599999854
2023-02-20,-70277.53599999854
2023-02-21,-70277.53599999854
2023-02-22,-70277.53599999854
2023-02-23,-70277.53599999854
2023-02-24,-70277.53599999854
2023-02-27,-70277.53599999854
2023-02-28,-70277.53599999854
2023-03-01,-70277.53599999854
2023-03-02,-70277.53599999854
2023-03-03,-70277.53599999854
2023-03-06,-70277.53599999854
2023-03-07,-70277.53599999854
2023-03-08,-70277.53599999854
2023-03-09,-70277.53599999854
2023-03-10,-70277.53599999854
2023-03-13,-70277.53599999854
2023-03-14,-70277.53599999854
2023-03-15,-70277.53599999854
2023-03-16,-70277.53599999854
2023-03-17,-70277.53599999854
2023-03-20,-70277.53599999854
2023-03-21,-70277.53599999854
2023-03-22,-70277.53599999854
2023-03-23,-70277.53599999854
2023-03-24,-70277.53599999854
2023-03-27,-70277.53599999854
2023-03-28,-70277.53599999854
2023-03-29,-70277.53599999854
2023-03-30,-70277.53599999854
2023-03-31,-70277.53599999854
2023-04-03,-70277.53599999854
2023-04-04,-70277.53599999854
2023-04-06,-70277.53599999854
2023-04-07,-70277.53599999854
2023-04-10,-70277.53599999854
2023-04-11,-70277.53599999854
2023-04-12,-70277.53599999854
2023-04-13,-70277.53599999854
2023-04-14,-70277.53599999854
2023-04-17,-70277.53599999854
2023-04-18,-70277.53599999854
2023-04-19,-70277.53599999854
2023-04-20,-70277.53599999854
2023-04-21,-70277.53599999854
2023-04-24,-70277.53599999854
2023-04-25,-70277.53599999854
2023-04-26,-70277.53599999854
2023-04-27,-70277.53599999854
2023-04-28,-70277.53599999854
2023-05-04,-70277.53599999854
2023-05-05,-70277.53599999854
2023-05-08,-70277.53599999854
2023-05-09,-70277.53599999854
2023-05-10,-70277.53599999854
2023-05-11,-70277.53599999854
2023-05-12,-70277.53599999854
2023-05-15,-70277.53599999854
2023-05-16,-70277.53599999854
2023-05-17,-70277.53599999854
2023-05-18,-70277.53599999854
2023-05-19,-70277.53599999854
2023-05-22,-70277.53599999854
2023-05-23,-70277.53599999854
2023-05-24,-70277.53599999854
2023-05-25,-70277.53599999854
2023-05-26,-70277.53599999854
2023-05-29,-70277.53599999854
2023-05-30,-70277.53599999854
2023-05-31,-70277.53599999854
2023-06-01,-70277.53599999854
2023-06-02,-70277.53599999854
2023-06-05,-70277.53599999854
2023-06-06,-70277.53599999854
2023-06-07,-70277.53599999854
2023-06-08,-70277.53599999854
2023-06-09,-70277.53599999854
2023-06-12,-70277.53599999854
2023-06-13,-70277.53599999854
2023-06-14,-70277.53599999854
2023-06-15,-70277.53599999854
2023-06-16,-70277.53599999854
2023-06-19,-70277.53599999854
2023-06-20,-70277.53599999854
2023-06-21,-70277.53599999854
2023-06-26,-70277.53599999854
2023-06-27,-70277.53599999854
2023-06-28,-70277.53599999854
2023-06-29,-70277.53599999854
2023-06-30,-70277.53599999854
2023-07-03,-70277.53599999854
2023-07-04,-70277.53599999854
2023-07-05,-70277.53599999854
2023-07-06,-70277.53599999854
2023-07-07,-70277.53599999854
2023-07-10,-70277.53599999854
2023-07-11,-70277.53599999854
2023-07-12,-70277.53599999854
2023-07-13,-70277.53599999854
2023-07-14,-70277.53599999854
2023-07-17,-70277.53599999854
2023-07-18,-70277.53599999854
2023-07-19,-70277.53599999854
2023-07-20,-70277.53599999854
2023-07-21,-70277.53599999854
2023-07-24,-70277.53599999854
2023-07-25,-70277.53599999854
2023-07-26,-70277.53599999854
2023-07-27,-70277.53599999854
2023-07-28,-70277.53599999854
2023-07-31,-70277.53599999854
2023-08-01,-70277.53599999854
2023-08-02,-70277.53599999854
2023-08-03,-70277.53599999854
2023-08-04,-70277.53599999854
2023-08-07,-70277.53599999854
2023-08-08,-70277.53599999854
2023-08-09,-70277.53599999854
2023-08-10,-70277.53599999854
2023-08-11,-70277.53599999854
2023-08-14,-70277.53599999854
2023-08-15,-70277.53599999854
2023-08-16,-70277.53599999854
2023-08-17,-70277.53599999854
2023-08-18,-70277.53599999854
2023-08-21,-70277.53599999854
2023-08-22,-70277.53599999854
2023-08-23,-70277.53599999854
2023-08-24,-70277.53599999854
2023-08-25,-70277.53599999854
2023-08-28,-70277.53599999854
2023-08-29,-70277.53599999854
2023-08-30,-78210.62399999736
2023-08-31,-73090.62399999911
2023-09-01,-67970.62399999794
2023-09-04,-69570.62399999794
2023-09-05,-71490.62399999911
2023-09-06,-64130.62399999853
2023-09-07,-64450.623999998235
2023-09-08,-56450.623999998235
2023-09-11,-54850.623999998235
2023-09-12,-66690.62399999765
2023-09-13,-77814.11199999794
2023-09-14,-77814.11199999794
2023-09-15,-133404.79999999708
2023-09-18,-108716.47999999707
2023-09-19,-108716.47999999707
2023-09-20,-108716.47999999707
2023-09-21,-108716.47999999707
2023-09-22,-108716.47999999707
2023-09-25,-108716.47999999707
