datetime,pnl,cost,net_pnl,pair,position_value
2024-11-21,3519.999999999709,0.0,3519.999999999709,IM2412.CFFEX / IM2503.CFFEX,20000000.0
2024-11-22,7680.000000000291,0.0,7680.000000000291,IM2412.CFFEX / IM2503.CFFEX,20000000.0
2024-11-25,4800.0,0.0,4800.0,IM2412.CFFEX / IM2503.CFFEX,20000000.0
2024-11-26,-639.9999999994179,0.0,-639.9999999994179,IM2412.CFFEX / IM2503.CFFEX,20000000.0
2024-11-27,-13760.000000000582,0.0,-13760.000000000582,IM2412.CFFEX / IM2503.CFFEX,20000000.0
2024-11-28,6080.000000000291,0.0,6080.000000000291,IM2412.CFFEX / IM2503.CFFEX,20000000.0
2024-11-29,-6080.000000000291,0.0,-6080.000000000291,IM2412.CFFEX / IM2503.CFFEX,20000000.0
2024-12-02,319.99999999970896,0.0,319.99999999970896,IM2412.CFFEX / IM2503.CFFEX,20000000.0
2024-12-03,3519.999999999709,0.0,3519.999999999709,IM2412.CFFEX / IM2503.CFFEX,20000000.0
2024-12-04,960.0000000005821,0.0,960.0000000005821,IM2412.CFFEX / IM2503.CFFEX,20000000.0
2024-12-05,10880.000000000291,0.0,10880.000000000291,IM2412.CFFEX / IM2503.CFFEX,20000000.0
2024-12-06,-5119.999999999709,0.0,-5119.999999999709,IM2412.CFFEX / IM2503.CFFEX,20000000.0
2024-12-09,4800.0,0.0,4800.0,IM2412.CFFEX / IM2503.CFFEX,20000000.0
2024-12-10,-7040.000000000873,0.0,-7040.000000000873,IM2412.CFFEX / IM2503.CFFEX,20000000.0
2024-12-11,319.99999999970896,0.0,319.99999999970896,IM2412.CFFEX / IM2503.CFFEX,20000000.0
2024-12-12,1280.000000000291,0.0,1280.000000000291,IM2412.CFFEX / IM2503.CFFEX,20000000.0
2024-12-13,15360.000000000582,0.0,15360.000000000582,IM2412.CFFEX / IM2503.CFFEX,20000000.0
2024-12-16,-2240.000000000873,0.0,-2240.000000000873,IM2412.CFFEX / IM2503.CFFEX,20000000.0
2024-12-17,0.0,0.0,0.0,,0.0
2024-12-18,0.0,0.0,0.0,,0.0
2024-12-19,0.0,0.0,0.0,,0.0
2024-12-20,0.0,0.0,0.0,,0.0
2024-12-23,0.0,0.0,0.0,,0.0
2024-12-24,0.0,0.0,0.0,,0.0
2024-12-25,0.0,0.0,0.0,,0.0
2024-12-26,0.0,0.0,0.0,,0.0
2024-12-27,0.0,0.0,0.0,,0.0
2024-12-30,0.0,0.0,0.0,,0.0
2024-12-31,0.0,0.0,0.0,,0.0
2025-01-02,0.0,0.0,0.0,,0.0
2025-01-03,0.0,0.0,0.0,,0.0
2025-01-06,0.0,0.0,0.0,,0.0
2025-01-07,0.0,0.0,0.0,,0.0
2025-01-08,0.0,0.0,0.0,,0.0
2025-01-09,0.0,0.0,0.0,,0.0
2025-01-10,0.0,0.0,0.0,,0.0
2025-01-13,0.0,0.0,0.0,,0.0
2025-01-14,0.0,0.0,0.0,,0.0
2025-01-15,0.0,0.0,0.0,,0.0
2025-01-16,0.0,0.0,0.0,,0.0
2025-01-17,0.0,0.0,0.0,,0.0
2025-01-20,0.0,0.0,0.0,,0.0
2025-01-21,0.0,0.0,0.0,,0.0
2025-01-22,0.0,0.0,0.0,,0.0
2025-01-23,0.0,0.0,0.0,,0.0
2025-01-24,0.0,0.0,0.0,,0.0
2025-01-27,0.0,0.0,0.0,,0.0
2025-02-05,0.0,0.0,0.0,,0.0
2025-02-06,0.0,0.0,0.0,,0.0
2025-02-07,0.0,0.0,0.0,,0.0
2025-02-10,0.0,0.0,0.0,,0.0
2025-02-11,0.0,-1942.208,-1942.208,IM2503.CFFEX / IM2506.CFFEX,20000000.0
2025-02-12,-959.9999999991269,0.0,-959.9999999991269,IM2503.CFFEX / IM2506.CFFEX,20000000.0
2025-02-13,3519.999999999709,0.0,3519.999999999709,IM2503.CFFEX / IM2506.CFFEX,20000000.0
2025-02-14,6719.999999999709,0.0,6719.999999999709,IM2503.CFFEX / IM2506.CFFEX,20000000.0
2025-02-17,6719.999999999709,0.0,6719.999999999709,IM2503.CFFEX / IM2506.CFFEX,20000000.0
2025-02-18,-1279.9999999988358,0.0,-1279.9999999988358,IM2503.CFFEX / IM2506.CFFEX,20000000.0
2025-02-19,2559.999999999127,0.0,2559.999999999127,IM2503.CFFEX / IM2506.CFFEX,20000000.0
2025-02-20,4160.000000000582,0.0,4160.000000000582,IM2503.CFFEX / IM2506.CFFEX,20000000.0
2025-02-21,7039.999999999418,0.0,7039.999999999418,IM2503.CFFEX / IM2506.CFFEX,20000000.0
2025-02-24,8960.000000000582,0.0,8960.000000000582,IM2503.CFFEX / IM2506.CFFEX,20000000.0
2025-02-25,13759.999999999127,0.0,13759.999999999127,IM2503.CFFEX / IM2506.CFFEX,20000000.0
2025-02-26,20800.000000001455,0.0,20800.000000001455,IM2503.CFFEX / IM2506.CFFEX,20000000.0
2025-02-27,6079.999999998836,0.0,6079.999999998836,IM2503.CFFEX / IM2506.CFFEX,20000000.0
2025-02-28,-9600.0,0.0,-9600.0,IM2503.CFFEX / IM2506.CFFEX,20000000.0
2025-03-03,-6400.0,0.0,-6400.0,IM2503.CFFEX / IM2506.CFFEX,20000000.0
