products,lookback,z_threshold,total_pnl,total_return,annual_return,max_dd,sharpe,calmar,win_rate,profit_days,loss_days,days,trades_count
IC,20,2.5,-93727.92,-0.009372792399999108,-0.002435756860706629,-0.035607538726617254,-0.11374969591505239,-0.06840565082039379,0.5503355704697986,164,134,962,70
IC,20,2.0,-96540.46,-0.00965404599999975,-0.002508847713097648,-0.02517128859942087,-0.170645718562959,-0.09967100822781756,0.5351170568561873,160,139,962,88
IC+IM,60,1.5,595799.48,0.059579947600000516,0.0154833543659045,-0.009415181576193562,1.9736193559543342,1.6445093746311183,0.590027700831025,213,148,962,162
IC+IM,60,2.0,596020.3,0.05960203040000045,0.015489093139293255,-0.008173990013454794,1.7706776731276945,1.8949244021337728,0.592797783933518,214,147,962,156
IC+IM,60,2.5,535692.95,0.05356929520000042,0.01392133451143462,-0.006952126718140514,1.6926690824330135,2.002456956819993,0.6066481994459834,219,142,962,150
IC+IM,40,2.5,534075.58,0.05340755760000038,0.01387930291060301,-0.008248809192204526,1.68223380249725,1.6825826112840068,0.6038781163434903,218,143,962,150
IC+IM,40,1.5,524876.8,0.05248767960000045,0.013640249376299492,-0.009108934119962624,1.5496309069894745,1.4974583410814548,0.5734072022160664,207,154,962,170
IC+IM,40,1.0,484538.58,0.048453857600000205,0.01259195883575889,-0.01613571148030221,1.4319404491842893,0.7803782839777853,0.5552486187845304,201,161,962,212
IC+IM,20,2.0,509942.82,0.05099428240000026,0.013252152390852458,-0.010288988401463707,1.3677239652951714,1.2879937146169989,0.5966850828729282,216,146,962,214
IC+IM,40,2.0,420673.26,0.04206732560000037,0.010932257172557268,-0.009075086980748985,1.2980197799596283,1.2046448916410284,0.5955678670360111,215,146,962,156
IC+IM,20,1.5,508624.92,0.05086249200000048,0.01321790332640345,-0.009501536149046764,1.270719105649821,1.3911332987697498,0.5867768595041323,213,150,962,280
IC+IM,20,2.5,489832.2,0.048983220000000216,0.012729527027027083,-0.017059515582052667,1.1194128701843016,0.7461833816910419,0.6149584487534626,222,139,962,164
IC+IM,60,1.0,305107.65,0.030510765200000733,0.007928993035343227,-0.012666594093303243,0.9435849912342016,0.6259767208878384,0.5441988950276243,197,165,962,174
IC+IM,20,1.0,418716.81,0.041871680800000366,0.010881413929314023,-0.013962157196243616,0.8938562594401376,0.7793504811879329,0.5537190082644629,201,162,962,302
IC+IM,60,0.5,23426.52,0.002342651600000467,0.0006087971933473147,-0.027957808646895645,0.07017214645510282,0.021775569073970102,0.48342541436464087,175,187,962,234
IC+IM,20,0.5,-57741.53,-0.005774153199999965,-0.0015005595634095545,-0.03024406113561329,-0.16033460936723398,-0.04961501554573306,0.4986225895316804,181,182,962,266
IC+IM,40,0.5,-65288.12,-0.006528811999999551,-0.0016966767151765985,-0.045237802002004945,-0.1623724484975461,-0.03750572839726832,0.4986149584487535,180,181,962,224
IM,20,2.5,1136069.85,0.1136069851999999,0.029523644802494777,-0.005314330648849903,2.780664750707777,5.55547758566436,0.6402439024390244,210,118,962,94
IM,20,2.0,1201462.05,0.12014620480000038,0.031223026195426298,-0.009354655422680538,2.562812041681131,3.33769922938321,0.6371951219512195,209,119,962,126
IM,60,2.5,1028215.16,0.10282151600000011,0.026720768191268222,-0.006927996570788311,2.514041048279701,3.8569257242325343,0.6310975609756098,207,121,962,90
IM,40,2.5,1024980.41,0.10249804080000025,0.026636704989605055,-0.00783600871119819,2.487012479280434,3.3992694458773873,0.6310975609756098,207,121,962,90
IM,60,1.5,935637.44,0.09356374400000034,0.024314902286902373,-0.011015635111945572,2.2867662172008205,2.2073082522981187,0.6067073170731707,199,129,962,100
IM,60,2.0,929632.5,0.09296325040000042,0.024158848856548964,-0.009188650031769038,2.2389299876008817,2.6292054625022865,0.6158536585365854,202,126,962,92
IM,40,2.0,790447.92,0.0790447924000004,0.02054178596673607,-0.016179146197407287,1.8330689490041505,1.2696458586935755,0.6189024390243902,203,125,962,94
IM,40,1.5,790511.46,0.0790511460000003,0.020543437110187187,-0.011968981847012493,1.8278614061027718,1.716389695696206,0.5835866261398176,192,137,962,104
IM,20,1.5,955471.8,0.09554717960000092,0.024830348128898366,-0.012075592550094503,1.7689262699785293,2.056242625435722,0.6170212765957447,203,126,962,168
IM,20,1.0,627610.54,0.06276105440000079,0.016310045322245528,-0.015492210091019674,1.1473154832910972,1.0527900942745365,0.5818181818181818,192,138,962,180
IM,60,1.0,399781.52,0.039978152400000466,0.010389332744282866,-0.018324198433309218,0.9160542661130581,0.5669733812420098,0.547112462006079,180,149,962,104
IM,40,1.0,373253.9,0.03732538959999987,0.00969994532224529,-0.021458105196055306,0.8433097107513036,0.45204109280014404,0.5379939209726444,177,152,962,114
IM,60,0.5,-173839.7,-0.01738397040000017,-0.00451766382536387,-0.051441900839874086,-0.3543120506402156,-0.08782070163826644,0.49240121580547114,162,167,962,114
