datetime,IM2209.CFFEX,IM2212.CFFEX,IM2303.CFFEX,IM2306.CFFEX,IM2309.CFFEX,IM2312.CFFEX,IM2403.CFFEX,IM2406.CFFEX,IM2409.CFFEX,IM2412.CFFEX,IM2503.CFFEX,IM2506.CFFEX,IM2509.CFFEX,IM2512.CFFEX,IM2603.CFFEX,IM2606.CFFEX,IM2609.CFFEX
2025-09-29,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7143.2,,,
2025-09-30,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7143.2,,,
2025-10-09,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7143.2,,,
2025-10-10,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7143.2,,,
2025-10-13,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7143.2,,,
2025-10-14,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7143.2,,,
2025-10-15,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7143.2,,,
2025-10-16,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7143.2,,,
2025-10-17,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7143.2,,,
2025-10-20,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7143.2,,,
2025-10-21,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7143.2,,,
2025-10-22,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7143.2,,,
2025-10-23,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7143.2,,,
2025-10-24,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7143.2,,,
2025-10-27,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7143.2,,,
2025-10-28,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7143.2,,,
2025-10-29,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7143.2,,,
2025-10-30,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7143.2,,,
2025-10-31,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7143.2,,,
2025-11-03,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7398.0,7193.0,,
2025-11-04,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7398.0,7193.0,,
2025-11-05,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7398.0,7193.0,,
2025-11-06,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7398.0,7193.0,,
2025-11-07,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7398.0,7193.0,,
2025-11-10,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7398.0,7193.0,,
2025-11-11,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7398.0,7193.0,,
2025-11-12,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7398.0,7193.0,,
2025-11-13,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7398.0,7193.0,,
2025-11-14,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7398.0,7193.0,,
2025-11-17,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7398.0,7193.0,,
2025-11-18,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7351.8,7116.8,,
2025-11-19,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7351.8,7116.8,,
2025-11-20,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7351.8,7116.8,,
2025-11-21,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7018.2,6802.8,,
2025-11-24,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7018.2,6802.8,,
2025-11-25,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7018.2,6802.8,,
2025-11-26,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7018.2,6802.8,,
2025-11-27,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7018.2,6802.8,,
2025-11-28,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7018.2,6802.8,,
2025-12-01,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7018.2,6802.8,,
2025-12-02,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7018.2,6802.8,,
2025-12-03,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7018.2,6802.8,,
2025-12-04,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7018.2,6802.8,,
2025-12-05,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7018.2,6802.8,,
2025-12-08,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7018.2,6802.8,,
2025-12-09,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7018.2,6802.8,,
2025-12-10,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7371.4,7123.0,,
2025-12-11,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7304.6,7063.0,,
2025-12-12,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7304.6,7063.0,,
2025-12-15,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7308.0,7073.0,,
2025-12-16,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7308.0,7073.0,,
2025-12-17,6596.4,6684.8,6871.0,6497.0,6165.0,6092.2,5463.0,5173.8,4405.0,6263.4,6550.0,6156.8,7368.6,7308.0,7073.0,,
