datetime,product,vt_symbol,role,near,far,prev_lots,curr_lots,change
2024-02-05,IM,IM2403.CFFEX,near,IM2403.CFFEX,IM2406.CFFEX,0.0,4.0,4.0
2024-02-05,IM,IM2406.CFFEX,far,IM2403.CFFEX,IM2406.CFFEX,0.0,-4.0,-4.0
2024-02-06,IM,IM2403.CFFEX,near,IM2403.CFFEX,IM2402.CFFEX,4.0,0.0,-4.0
2024-02-06,IM,IM2406.CFFEX,unknown,IM2403.CFFEX,IM2402.CFFEX,-4.0,0.0,4.0
2024-02-07,IM,IM2403.CFFEX,near,IM2403.CFFEX,IM2406.CFFEX,0.0,3.0,3.0
2024-02-07,IM,IM2406.CFFEX,far,IM2403.CFFEX,IM2406.CFFEX,0.0,-3.0,-3.0
2024-03-11,IC,IC2403.CFFEX,near,IC2403.CFFEX,IC2403.CFFEX,3.0,0.0,-3.0
2024-03-11,IC,IC2406.CFFEX,unknown,IC2403.CFFEX,IC2403.CFFEX,-3.0,0.0,3.0
2024-03-12,IF,IF2403.CFFEX,near,IF2403.CFFEX,IF2403.CFFEX,3.0,0.0,-3.0
2024-03-12,IF,IF2406.CFFEX,unknown,IF2403.CFFEX,IF2403.CFFEX,-3.0,0.0,3.0
2024-03-12,IM,IM2403.CFFEX,near,IM2403.CFFEX,IM2403.CFFEX,3.0,0.0,-3.0
2024-03-12,IM,IM2406.CFFEX,unknown,IM2403.CFFEX,IM2403.CFFEX,-3.0,0.0,3.0
2024-03-14,IC,IC2403.CFFEX,near,IC2403.CFFEX,IC2404.CFFEX,0.0,3.0,3.0
2024-03-14,IC,IC2404.CFFEX,far,IC2403.CFFEX,IC2404.CFFEX,0.0,-3.0,-3.0
2024-03-14,IF,IF2403.CFFEX,near,IF2403.CFFEX,IF2404.CFFEX,0.0,3.0,3.0
2024-03-14,IF,IF2404.CFFEX,far,IF2403.CFFEX,IF2404.CFFEX,0.0,-3.0,-3.0
2024-03-14,IM,IM2403.CFFEX,near,IM2403.CFFEX,IM2404.CFFEX,0.0,3.0,3.0
2024-03-14,IM,IM2404.CFFEX,far,IM2403.CFFEX,IM2404.CFFEX,0.0,-3.0,-3.0
