datetime,balance,drawdown,ddpercent
2023-09-06,9925729.955999998,-84497.21200000122,-0.008441088357127004
2023-09-07,9927969.955999998,-82257.21200000122,-0.008217317211636852
2023-09-08,9930289.955999998,-79937.21200000122,-0.007985554239522052
2023-09-11,9934089.955999998,-76137.21200000122,-0.007605942474851258
2023-09-12,9929609.955999998,-80617.21200000122,-0.008053484765831563
2023-09-13,9924856.851999998,-85370.3160000015,-0.00852830955454312
2023-09-14,9926896.851999998,-83330.3160000015,-0.008324517975614587
2023-09-15,9908108.639999999,-102118.52800000086,-0.01020141963675373
2023-09-18,9914280.719999999,-95946.44800000079,-0.009584842220835482
2023-09-19,9914280.719999999,-95946.44800000079,-0.009584842220835482
2023-09-20,9914280.719999999,-95946.44800000079,-0.009584842220835482
2023-09-21,9914280.719999999,-95946.44800000079,-0.009584842220835482
2023-09-22,9914280.719999999,-95946.44800000079,-0.009584842220835482
2023-09-25,9914280.719999999,-95946.44800000079,-0.009584842220835482
2023-09-26,9914280.719999999,-95946.44800000079,-0.009584842220835482
2023-09-27,9914280.719999999,-95946.44800000079,-0.009584842220835482
2023-09-28,9914280.719999999,-95946.44800000079,-0.009584842220835482
2023-10-09,9914280.719999999,-95946.44800000079,-0.009584842220835482
2023-10-10,9914280.719999999,-95946.44800000079,-0.009584842220835482
2023-10-11,9914280.719999999,-95946.44800000079,-0.009584842220835482
2023-10-12,9914280.719999999,-95946.44800000079,-0.009584842220835482
2023-10-13,9914280.719999999,-95946.44800000079,-0.009584842220835482
2023-10-16,9914280.719999999,-95946.44800000079,-0.009584842220835482
2023-10-17,9914280.719999999,-95946.44800000079,-0.009584842220835482
2023-10-18,9914280.719999999,-95946.44800000079,-0.009584842220835482
2023-10-19,9914280.719999999,-95946.44800000079,-0.009584842220835482
2023-10-20,9914280.719999999,-95946.44800000079,-0.009584842220835482
2023-10-23,9914280.719999999,-95946.44800000079,-0.009584842220835482
2023-10-24,9914280.719999999,-95946.44800000079,-0.009584842220835482
2023-10-25,9914280.719999999,-95946.44800000079,-0.009584842220835482
2023-10-26,9914280.719999999,-95946.44800000079,-0.009584842220835482
2023-10-27,9914280.719999999,-95946.44800000079,-0.009584842220835482
2023-10-30,9914280.719999999,-95946.44800000079,-0.009584842220835482
2023-10-31,9914280.719999999,-95946.44800000079,-0.009584842220835482
2023-11-01,9914280.719999999,-95946.44800000079,-0.009584842220835482
2023-11-02,9914280.719999999,-95946.44800000079,-0.009584842220835482
2023-11-03,9914280.719999999,-95946.44800000079,-0.009584842220835482
2023-11-06,9914280.719999999,-95946.44800000079,-0.009584842220835482
2023-11-07,9914280.719999999,-95946.44800000079,-0.009584842220835482
2023-11-08,9914280.719999999,-95946.44800000079,-0.009584842220835482
2023-11-09,9917914.775999999,-92312.39200000092,-0.00922180790213221
2023-11-10,9917994.775999999,-92232.39200000092,-0.009213816075507562
2023-11-13,9922954.775999999,-87272.39200000092,-0.008718322824779367
2023-11-14,9928229.447999999,-81997.72000000067,-0.008191394523205758
2023-11-15,9931429.447999999,-78797.72000000067,-0.007871721458219825
2023-11-16,9934309.447999999,-75917.72000000067,-0.007584015699732488
2023-11-17,9937509.447999999,-72717.72000000067,-0.007264342634746556
2023-11-20,9941524.327999998,-68702.84000000171,-0.006863264823762061
2023-11-21,9943824.327999998,-66402.84000000171,-0.006633499808303423
2023-11-22,9933744.327999998,-76482.84000000171,-0.007640469963009107
2023-11-23,9936244.327999998,-73982.84000000171,-0.007390725380988848
2023-11-24,9936584.327999998,-73642.84000000171,-0.007356760117834093
2023-11-27,9943164.327999998,-67062.84000000171,-0.006699432377956771
2023-11-28,9945664.327999998,-64562.84000000171,-0.006449687795936512
2023-11-29,9950724.327999998,-59502.84000000171,-0.005944204761927509
2023-11-30,9959704.327999998,-50522.84000000171,-0.005047122223310738
2023-12-01,9963384.327999998,-46842.84000000171,-0.004679498198576917
2023-12-04,9970744.327999998,-39482.84000000171,-0.003944250149109275
2023-12-05,9990684.327999998,-19542.840000001714,-0.00195228736291569
2023-12-06,9997204.327999998,-13022.840000001714,-0.0013009534930068546
2023-12-07,9973184.327999998,-37042.84000000171,-0.003700499437057502
2023-12-08,9973924.327999998,-36302.84000000171,-0.0036265750407795056
2023-12-11,9967504.327999998,-42722.84000000171,-0.004267919127407531
2023-12-12,9964964.327999998,-45262.84000000171,-0.004521659622740114
2023-12-13,9975222.911999999,-35004.25600000098,-0.0034968493134601543
2023-12-14,9977782.631999997,-32444.536000002176,-0.0032411388328647144
2023-12-15,9981316.013999999,-28911.154000001028,-0.0028881616285814375
2023-12-18,9981316.013999999,-28911.154000001028,-0.0028881616285814375
2023-12-19,9980671.841999998,-29555.32600000128,-0.0029525130153371243
2023-12-20,9980806.457999999,-29420.710000000894,-0.00293906516867579
2023-12-21,9975851.417999998,-34375.75000000186,-0.0034340629261533522
2023-12-22,9973292.693999998,-36934.474000001326,-0.0036896739085073805
2023-12-25,9972475.181999998,-37751.98600000143,-0.0037713415856020093
2023-12-26,9971815.181999998,-38411.98600000143,-0.003837274155255358
2023-12-27,9975235.181999998,-34991.98600000143,-0.0034956235670516437
2023-12-28,9970075.181999998,-40151.98600000143,-0.0040110963843414576
2023-12-29,9964089.557999998,-46137.61000000127,-0.0046090472499456135
2024-01-02,9972078.209999997,-38148.95800000243,-0.0038109982280876077
2024-01-03,9971913.269999998,-38313.89800000191,-0.0038274753766309243
2024-01-04,9972563.537999999,-37663.63000000082,-0.0037625150126863556
2024-01-05,9972563.537999999,-37663.63000000082,-0.0037625150126863556
2024-01-08,9972563.537999999,-37663.63000000082,-0.0037625150126863556
2024-01-09,9972563.537999999,-37663.63000000082,-0.0037625150126863556
2024-01-10,9972563.537999999,-37663.63000000082,-0.0037625150126863556
2024-01-11,9972563.537999999,-37663.63000000082,-0.0037625150126863556
2024-01-12,9972563.537999999,-37663.63000000082,-0.0037625150126863556
2024-01-15,9972563.537999999,-37663.63000000082,-0.0037625150126863556
2024-01-16,9972563.537999999,-37663.63000000082,-0.0037625150126863556
2024-01-17,9972563.537999999,-37663.63000000082,-0.0037625150126863556
2024-01-18,9972563.537999999,-37663.63000000082,-0.0037625150126863556
2024-01-19,9972563.537999999,-37663.63000000082,-0.0037625150126863556
2024-01-22,9972563.537999999,-37663.63000000082,-0.0037625150126863556
2024-01-23,9972563.537999999,-37663.63000000082,-0.0037625150126863556
2024-01-24,9972563.537999999,-37663.63000000082,-0.0037625150126863556
2024-01-25,9972563.537999999,-37663.63000000082,-0.0037625150126863556
2024-01-26,9972563.537999999,-37663.63000000082,-0.0037625150126863556
2024-01-29,9972563.537999999,-37663.63000000082,-0.0037625150126863556
2024-01-30,9972563.537999999,-37663.63000000082,-0.0037625150126863556
2024-01-31,9972563.537999999,-37663.63000000082,-0.0037625150126863556
2024-02-01,9972563.537999999,-37663.63000000082,-0.0037625150126863556
2024-02-02,9967695.209999997,-42531.95800000243,-0.004248850429285526
2024-02-05,9984532.853999998,-25694.314000001177,-0.0025668062840910324
2024-02-06,9971560.693999998,-38666.474000001326,-0.003862696954931016
2024-02-07,9941975.893999998,-68251.27400000207,-0.006818154358992272
2024-02-08,9962278.969999999,-47948.19800000079,-0.004789921067253925
2024-02-19,9972178.969999999,-38048.19800000079,-0.003800932522453699
2024-02-20,9980398.969999999,-29828.19800000079,-0.002979772336771088
2024-02-21,9966118.969999997,-44108.19800000265,-0.004406313389270993
2024-02-22,9965758.969999997,-44468.19800000265,-0.00444227660908191
2024-02-23,9967198.969999999,-43028.19800000079,-0.0042984237298380554
2024-02-26,9968338.969999999,-41888.19800000079,-0.004184540200436817
2024-02-27,9967198.969999999,-43028.19800000079,-0.0042984237298380554
2024-02-28,9970138.969999999,-40088.19800000079,-0.004004724101382231
2024-02-29,9963958.969999999,-46268.19800000079,-0.00462209270813631
2024-03-01,9957598.969999999,-52628.19800000079,-0.0052574429247958495
2024-03-04,9971578.969999997,-38648.19800000265,-0.0038608712221387476
2024-03-05,9987058.969999999,-23168.19800000079,-0.0023144527702691183
2024-03-06,9988858.969999999,-21368.19800000079,-0.002134636671214532
2024-03-07,9986878.969999999,-23348.19800000079,-0.002332434380174577
2024-03-08,9994678.969999999,-15548.19800000079,-0.0015532312842713692
2024-03-11,10004338.969999997,-5888.198000002652,-0.0005882182193452747
2024-03-12,9985508.245999997,-24718.922000002116,-0.0024693667371527644
2024-03-13,9985292.929999998,-24934.23800000176,-0.002490876338921638
2024-03-14,9985292.929999998,-24934.23800000176,-0.002490876338921638
2024-03-15,9870253.345999997,-139973.8220000025,-0.013983081467667496
2024-03-18,9841549.825999998,-168677.34200000204,-0.01685050090963151
2024-03-19,9839183.873999998,-171043.29400000162,-0.017086854386959466
2024-03-20,9836500.625999998,-173726.5420000013,-0.01735490504704611
2024-03-21,9836500.625999998,-173726.5420000013,-0.01735490504704611
2024-03-22,9836500.625999998,-173726.5420000013,-0.01735490504704611
2024-03-25,9836500.625999998,-173726.5420000013,-0.01735490504704611
2024-03-26,9836500.625999998,-173726.5420000013,-0.01735490504704611
2024-03-27,9836500.625999998,-173726.5420000013,-0.01735490504704611
