datetime,IM.CFFEX,IC.CFFEX,IF.CFFEX
2023-02-27,15380.66399999906,-32563.151999999696,-40658.95200000021
2023-02-28,13540.663999998915,-32163.15200000006,-41978.95200000037
2023-03-01,11780.66399999906,-32803.15199999984,-41858.95200000048
2023-03-02,11380.66399999906,-34403.15199999984,-40898.95200000026
2023-03-03,10740.663999998915,-34723.151999999915,-41858.95200000048
2023-03-06,13620.663999998842,-31843.151999999987,-41498.95200000026
2023-03-07,10820.663999999206,-32003.15199999984,-40778.95200000037
2023-03-08,12580.66399999906,-31603.15199999984,-41618.95200000015
2023-03-09,13540.663999999279,-31043.151999999987,-39818.95200000015
2023-03-10,11220.663999998842,-29043.151999999987,-41138.95200000032
2023-03-13,12900.663999999133,-26963.15200000006,-40658.95200000021
2023-03-14,11380.66399999906,-25058.40000000006,-39578.9520000001
2023-03-15,8660.663999998987,-25058.40000000006,-40778.9520000001
2023-03-16,8762.375999999133,-25058.40000000006,-46173.97200000027
2023-03-17,8762.375999999133,-25058.40000000006,-46173.97200000027
2023-03-20,8762.375999999133,-25058.40000000006,-46173.97200000027
2023-03-21,8762.375999999133,-25058.40000000006,-46173.97200000027
2023-03-22,8762.375999999133,-25058.40000000006,-46173.97200000027
2023-03-23,8762.375999999133,-25058.40000000006,-46173.97200000027
2023-03-24,8762.375999999133,-25058.40000000006,-46173.97200000027
2023-03-27,8762.375999999133,-25058.40000000006,-46173.97200000027
2023-03-28,8762.375999999133,-25058.40000000006,-46173.97200000027
2023-03-29,8762.375999999133,-25058.40000000006,-46173.97200000027
2023-03-30,8762.375999999133,-25058.40000000006,-46173.97200000027
2023-03-31,8762.375999999133,-25058.40000000006,-46173.97200000027
2023-04-03,8762.375999999133,-25058.40000000006,-46173.97200000027
2023-04-04,8762.375999999133,-25058.40000000006,-46173.97200000027
2023-04-06,8762.375999999133,-25058.40000000006,-46173.97200000027
2023-04-07,8762.375999999133,-25058.40000000006,-46173.97200000027
2023-04-10,8762.375999999133,-25058.40000000006,-46173.97200000027
2023-04-11,8762.375999999133,-25058.40000000006,-46173.97200000027
2023-04-12,8762.375999999133,-25058.40000000006,-46173.97200000027
2023-04-13,8762.375999999133,-25058.40000000006,-46173.97200000027
2023-04-14,8762.375999999133,-25058.40000000006,-46173.97200000027
2023-04-17,8762.375999999133,-25058.40000000006,-46173.97200000027
2023-04-18,8762.375999999133,-25058.40000000006,-46173.97200000027
2023-04-19,8762.375999999133,-25058.40000000006,-46173.97200000027
2023-04-20,8762.375999999133,-25058.40000000006,-46173.97200000027
2023-04-21,8762.375999999133,-25058.40000000006,-46173.97200000027
2023-04-24,8762.375999999133,-25058.40000000006,-46173.97200000027
2023-04-25,8762.375999999133,-25058.40000000006,-46173.97200000027
2023-04-26,8762.375999999133,-25058.40000000006,-46173.97200000027
2023-04-27,8762.375999999133,-25058.40000000006,-46173.97200000027
2023-04-28,8762.375999999133,-25058.40000000006,-46173.97200000027
2023-05-04,8762.375999999133,-25058.40000000006,-46173.97200000027
2023-05-05,8762.375999999133,-24754.41600000006,-46173.97200000027
2023-05-08,11993.55999999935,-24354.41600000006,-46173.97200000027
2023-05-09,8953.559999999205,-26994.416000000205,-46173.97200000027
2023-05-10,11113.559999999423,-26514.416000000278,-46173.97200000027
2023-05-11,9593.55999999935,-26754.41600000006,-46173.97200000027
2023-05-12,6553.559999999205,-28594.416000000205,-46173.97200000027
2023-05-15,8233.559999999132,-29954.41600000006,-40763.35200000015
2023-05-16,6553.559999999568,-31234.415999999987,-42803.35200000048
2023-05-17,8073.559999999277,-31554.41600000006,-41363.35200000015
2023-05-18,6873.559999999277,-30754.416000000423,-42443.35200000026
2023-05-19,5753.559999999568,-33234.41599999998,-42683.35200000004
2023-05-22,5353.559999999205,-34034.41599999998,-39563.35200000042
2023-05-23,2313.559999999423,-35794.4160000002,-41003.35200000048
2023-05-24,3513.559999999423,-34194.4160000002,-41483.35200000032
2023-05-25,3193.55999999935,-34514.41599999991,-42923.35200000038
2023-05-26,6473.559999999277,-33554.416000000056,-43163.35200000016
2023-05-29,5033.559999999132,-33314.416000000274,-43643.35200000027
2023-05-30,4953.559999999205,-33954.416000000056,-44363.352000000436
2023-05-31,5753.559999999205,-34034.41599999998,-45923.35200000038
2023-06-01,4153.559999999568,-35314.416000000274,-46523.35200000038
2023-06-02,6473.559999999277,-33874.41600000049,-44843.35200000027
2023-06-05,6553.559999999205,-33474.41600000013,-43163.35200000016
2023-06-06,5433.559999999496,-35234.41600000035,-42443.35200000027
2023-06-07,5993.55999999935,-33394.4160000002,-41963.35200000016
2023-06-08,5273.559999999277,-34514.416000000274,-40643.35200000027
2023-06-09,8473.559999999277,-35474.41600000049,-40883.35200000005
2023-06-12,7673.559999999277,-36514.416000000274,-40283.35200000032
2023-06-13,7033.559999999132,-36753.80800000013,-39443.35200000026
2023-06-14,4911.983999999132,-36753.80800000013,-40403.3520000002
2023-06-15,4911.983999999132,-36753.80800000013,-39306.31200000026
2023-06-16,4911.983999999132,-36753.80800000013,-41096.052000000156
2023-06-19,4911.983999999132,-36753.80800000013,-38811.67200000027
2023-06-20,4911.983999999132,-36753.80800000013,-38811.67200000027
2023-06-21,4911.983999999132,-36753.80800000013,-38811.67200000027
2023-06-26,4911.983999999132,-36753.80800000013,-38811.67200000027
2023-06-27,4911.983999999132,-36753.80800000013,-38811.67200000027
2023-06-28,4911.983999999132,-36753.80800000013,-38811.67200000027
2023-06-29,4911.983999999132,-36753.80800000013,-38811.67200000027
2023-06-30,4911.983999999132,-36753.80800000013,-38811.67200000027
2023-07-03,4911.983999999132,-36753.80800000013,-38811.67200000027
2023-07-04,4911.983999999132,-36753.80800000013,-38811.67200000027
2023-07-05,4911.983999999132,-36753.80800000013,-38811.67200000027
2023-07-06,4911.983999999132,-36753.80800000013,-38811.67200000027
2023-07-07,4911.983999999132,-36753.80800000013,-38811.67200000027
2023-07-10,4911.983999999132,-36753.80800000013,-38811.67200000027
2023-07-11,4911.983999999132,-36753.80800000013,-38811.67200000027
2023-07-12,4911.983999999132,-36753.80800000013,-38811.67200000027
2023-07-13,4911.983999999132,-36753.80800000013,-38811.67200000027
2023-07-14,4911.983999999132,-36753.80800000013,-38811.67200000027
2023-07-17,4911.983999999132,-36753.80800000013,-38811.67200000027
2023-07-18,4911.983999999132,-36753.80800000013,-38811.67200000027
2023-07-19,4911.983999999132,-36753.80800000013,-38811.67200000027
2023-07-20,4911.983999999132,-36753.80800000013,-38811.67200000027
2023-07-21,4911.983999999132,-36753.80800000013,-38811.67200000027
2023-07-24,4911.983999999132,-36753.80800000013,-38811.67200000027
2023-07-25,4911.983999999132,-36753.80800000013,-38811.67200000027
2023-07-26,4911.983999999132,-36753.80800000013,-38811.67200000027
2023-07-27,4911.983999999132,-36753.80800000013,-38811.67200000027
2023-07-28,4911.983999999132,-36753.80800000013,-38811.67200000027
2023-07-31,4911.983999999132,-36753.80800000013,-38811.67200000027
2023-08-01,4911.983999999132,-36753.80800000013,-38811.67200000027
2023-08-02,4911.983999999132,-36360.3280000002,-38811.67200000027
2023-08-03,4911.983999999132,-35400.32800000034,-38811.67200000027
2023-08-04,4911.983999999132,-37640.328000000125,-38811.67200000027
2023-08-07,4911.983999999132,-38200.32800000034,-38811.67200000027
2023-08-08,4911.983999999132,-38840.32800000049,-38811.67200000027
2023-08-09,4911.983999999132,-40360.3280000002,-38811.67200000027
2023-08-10,4911.983999999132,-39560.3280000002,-38811.67200000027
2023-08-11,5277.223999999421,-42120.328000000416,-38811.67200000027
2023-08-14,7357.223999999348,-39160.3280000002,-38811.67200000027
2023-08-15,4717.2239999992025,-39560.3280000002,-38811.67200000027
2023-08-16,4157.223999999348,-41560.32800000056,-38811.67200000027
2023-08-17,5357.223999999348,-41480.32800000027,-38811.67200000027
2023-08-18,1997.2239999991298,-43400.32800000034,-38811.67200000027
2023-08-21,2157.223999999348,-43480.32800000027,-37586.94000000016
2023-08-22,4637.223999999275,-44200.32800000034,-37106.94000000032
2023-08-23,4157.223999999348,-42600.32799999998,-33746.94000000038
2023-08-24,6477.223999999421,-42600.32800000034,-33506.94000000032
2023-08-25,3197.2239999994936,-41560.3280000002,-37706.94000000032
2023-08-28,8077.223999999421,-42520.328000000416,-38786.94000000043
2023-08-29,3517.2239999992025,-43160.3280000002,-41786.94000000043
2023-08-30,3917.2239999992025,-44520.32800000005,-39146.94000000038
2023-08-31,4077.223999999421,-43240.32800000049,-39146.94000000038
2023-09-01,3837.2239999992753,-41960.3280000002,-38906.94000000032
2023-09-04,5117.2239999992025,-42360.3280000002,-40226.94000000049
