date,near,far,near_lots,far_lots,near_px,far_px,spread_pct,vol20,daily_pnl,cum_pnl,equity,spread_percentile,carry_annual
2026-08-06,IM2609.CFFEX,IM2612.CFFEX,8,-8,7451.8,7269.0,0.0245309858020881,0.4530938838902821,28800.0,-26239.99999999941,14973760.0,0.356,0.0983935144809028
2026-08-07,IM2609.CFFEX,IM2612.CFFEX,8,-8,7590.6,7400.0,0.0251100044792243,0.4594610467208809,12480.000000000293,-13759.999999999129,14986240.0,0.376,0.1007159520320537
2026-08-10,IM2609.CFFEX,IM2612.CFFEX,8,-8,7607.2,7413.2,0.0255021558523504,0.3051920369161165,5439.999999999418,-8319.999999999709,14991680.0,0.4,0.1022888668803065
2026-08-11,IM2609.CFFEX,IM2612.CFFEX,8,-8,7613.2,7412.2,0.0264015131613513,0.2994326925260371,11200.0,2880.000000000291,15002880.0,0.436,0.1058961791636619
2026-08-12,IM2609.CFFEX,IM2612.CFFEX,8,-8,7677.4,7473.6,0.0265454450725505,0.3003451225526683,4479.999999998836,7359.999999999127,15007360.0,0.444,0.1064734884778124
2026-08-13,IM2609.CFFEX,IM2612.CFFEX,8,-8,7634.2,7433.6,0.0262764926252913,0.2984885581773467,-5119.999999999709,2239.999999999418,15002240.0,0.436,0.1053947231673775
2026-08-14,IM2609.CFFEX,IM2612.CFFEX,10,-10,7650.2,7442.4,0.0271626885571619,0.2986619079184368,14400.000000001455,17200.000000000815,17517200.0,0.492,0.1089492453116934
2026-08-17,IM2609.CFFEX,IM2612.CFFEX,10,-10,7875.0,7657.8,0.0275809523809523,0.3062244708678559,18799.999999999243,36000.00000000006,17536000.0,0.54,0.1106268969126111
2026-08-18,IM2609.CFFEX,IM2612.CFFEX,10,-10,7807.0,7586.8,0.0282054566414755,0.3040012781748315,6000.0,42000.00000000006,17542000.0,0.604,0.1131317766388855
2026-08-19,IM2609.CFFEX,IM2612.CFFEX,10,-10,7468.8,7265.6,0.0272065124250214,0.3152113398943391,-34000.0,8000.000000000058,17508000.0,0.384,0.1091250223640968
2026-08-20,IM2609.CFFEX,IM2612.CFFEX,10,-10,7516.2,7313.4,0.0269817194859104,0.3121433220956547,-799.9999999992724,7200.000000000786,17507200.0,0.368,0.1082233803555749
2026-08-21,IM2609.CFFEX,IM2612.CFFEX,20,-20,7527.0,7314.6,0.0282184137106416,0.3115620338163875,38399.99999999782,52799.99999999939,35052800.0,0.492,0.1131837473009252
2026-08-24,IM2609.CFFEX,IM2612.CFFEX,20,-20,7425.8,7213.0,0.0286568450537316,0.296729556937885,1600.0000000021537,54400.00000000154,35054400.0,0.552,0.1149422906001322
2026-08-25,IM2609.CFFEX,IM2612.CFFEX,20,-20,7466.4,7252.8,0.0286081645773062,0.2955250925717473,3199.9999999970896,57599.99999999863,35057600.0,0.544,0.1147470337441404
2026-08-26,IM2609.CFFEX,IM2612.CFFEX,20,-20,7491.8,7278.6,0.0284577805066872,0.2950198632646331,-1599.9999999985448,56000.00000000009,35056000.0,0.504,0.11414384488946
2026-08-27,IM2609.CFFEX,IM2612.CFFEX,20,-20,7686.6,7479.0,0.0270080399656545,0.2946076670274202,-22399.999999997905,33600.00000000218,35033600.0,0.36,0.1083289515105924
2026-08-28,IM2609.CFFEX,IM2612.CFFEX,20,-20,7666.6,7456.8,0.0273654553517856,0.2561880538600283,8799.999999999272,42400.000000001455,35042400.0,0.392,0.1097625406967228
2026-08-31,IM2609.CFFEX,IM2612.CFFEX,20,-20,7713.6,7501.0,0.0275617091889649,0.2458415318051047,11200.000000000728,53600.00000000218,35053600.0,0.408,0.1105497126810134
2026-09-01,IM2609.CFFEX,IM2612.CFFEX,20,-20,7645.0,7428.0,0.0283845650752125,0.2297439421390914,17599.999999998545,71200.00000000073,35071200.0,0.496,0.11385017859838
2026-09-02,IM2609.CFFEX,IM2612.CFFEX,20,-20,7540.4,7320.4,0.0291761710254097,0.2281784141597539,12000.0,83200.00000000073,35083200.0,0.604,0.1170253013656546
2026-09-03,IM2609.CFFEX,IM2612.CFFEX,20,-20,7559.4,7335.8,0.0295790671217291,0.2280016991686499,14399.999999997815,97599.99999999854,35097600.0,0.676,0.118641313180562
2026-09-04,IM2609.CFFEX,IM2612.CFFEX,20,-20,7468.2,7252.2,0.0289226319595083,0.2209467478103445,-30399.999999997846,67200.0000000007,35067200.0,0.576,0.1160083589584674
2026-09-07,IM2609.CFFEX,IM2612.CFFEX,20,-20,7604.0,7381.0,0.0293266701735928,0.2096914738503863,28000.0,95200.0000000007,35095200.0,0.628,0.1176289517951801
2026-09-08,IM2609.CFFEX,IM2612.CFFEX,20,-20,7633.4,7406.2,0.0297639321927319,0.197957796164629,16799.999999999272,111999.99999999996,35112000.0,0.72,0.1193828049488697
2026-09-09,IM2609.CFFEX,IM2612.CFFEX,20,-20,7618.6,7384.4,0.0307405560076655,0.1970872631320663,28000.00000000364,140000.0000000036,35140000.0,0.84,0.1233000323384387
2026-09-10,IM2609.CFFEX,IM2612.CFFEX,20,-20,7574.0,7340.2,0.0308687615526802,0.1850892255121783,-1600.0000000021828,138400.00000000143,35138400.0,0.848,0.1238142633706405
2026-09-11,IM2609.CFFEX,IM2612.CFFEX,20,-20,7415.2,7178.4,0.0319344050059337,0.1872835446203533,12000.0,150400.00000000143,35150400.0,0.944,0.1280885475512728
2026-09-14,IM2609.CFFEX,IM2612.CFFEX,20,-20,7470.0,7229.6,0.0321820615796518,0.187657977852792,14399.999999997815,164799.99999999924,35164800.0,0.964,0.1290818953469553
2026-09-15,IM2609.CFFEX,IM2612.CFFEX,20,-20,7443.2,7210.8,0.0312231298366293,0.1797711085002941,-32000.0,132799.99999999924,35132800.0,0.868,0.1252356306634034
2026-09-16,IM2609.CFFEX,IM2612.CFFEX,20,-20,7593.0,7378.4,0.02826287369946,0.1725881785473483,-71199.99999999709,61600.00000000216,35061600.0,0.44,0.1133620758275047
2026-09-17,IM2609.CFFEX,IM2612.CFFEX,0,0,7559.8,7352.0,0.0274874996693034,0.172911331630321,-27200.000000000728,34400.000000001426,35034400.0,0.356,0.1102520591131401
2026-09-21,IM2612.CFFEX,IM2703.CFFEX,23,-23,7560.6,7357.8,0.026823267994603626,0.17271128156449495,-58366.63999999918,-54787.27999999707,34945212.720000006,0.284,0.10758783316516839
