datetime,IM.CFFEX
2023-02-10,91230.2399999977
2023-02-13,91230.2399999977
2023-02-14,91230.2399999977
2023-02-15,91230.2399999977
2023-02-16,91230.2399999977
2023-02-17,91230.2399999977
2023-02-20,91230.2399999977
2023-02-21,91230.2399999977
2023-02-22,91230.2399999977
2023-02-23,91230.2399999977
2023-02-24,91230.2399999977
2023-02-27,91230.2399999977
2023-02-28,91230.2399999977
2023-03-01,91230.2399999977
2023-03-02,91230.2399999977
2023-03-03,91230.2399999977
2023-03-06,91230.2399999977
2023-03-07,91230.2399999977
2023-03-08,77014.33199999745
2023-03-09,77063.94799999693
2023-03-10,77063.94799999693
2023-03-13,77063.94799999693
2023-03-14,77063.94799999693
2023-03-15,77063.94799999693
2023-03-16,77063.94799999693
2023-03-17,77063.94799999693
2023-03-20,77063.94799999693
2023-03-21,77063.94799999693
2023-03-22,77063.94799999693
2023-03-23,77063.94799999693
2023-03-24,77063.94799999693
2023-03-27,77063.94799999693
2023-03-28,77063.94799999693
2023-03-29,77063.94799999693
2023-03-30,77063.94799999693
2023-03-31,77063.94799999693
2023-04-03,77063.94799999693
2023-04-04,77063.94799999693
2023-04-06,77063.94799999693
2023-04-07,77063.94799999693
2023-04-10,77063.94799999693
2023-04-11,77063.94799999693
2023-04-12,77063.94799999693
2023-04-13,77063.94799999693
2023-04-14,77063.94799999693
2023-04-17,77063.94799999693
2023-04-18,77063.94799999693
2023-04-19,77063.94799999693
2023-04-20,77063.94799999693
2023-04-21,77063.94799999693
2023-04-24,77063.94799999693
2023-04-25,77063.94799999693
2023-04-26,77063.94799999693
2023-04-27,77063.94799999693
2023-04-28,77063.94799999693
2023-05-04,77063.94799999693
2023-05-05,77063.94799999693
2023-05-08,77063.94799999693
2023-05-09,77063.94799999693
2023-05-10,77063.94799999693
2023-05-11,77063.94799999693
2023-05-12,77063.94799999693
2023-05-15,77063.94799999693
2023-05-16,77063.94799999693
2023-05-17,77063.94799999693
2023-05-18,77063.94799999693
2023-05-19,77063.94799999693
2023-05-22,77063.94799999693
2023-05-23,77063.94799999693
2023-05-24,66850.47199999694
2023-05-25,72039.09599999693
2023-05-26,72039.09599999693
2023-05-29,72039.09599999693
2023-05-30,72039.09599999693
2023-05-31,72039.09599999693
2023-06-01,72039.09599999693
2023-06-02,72039.09599999693
2023-06-05,72039.09599999693
2023-06-06,72039.09599999693
2023-06-07,72039.09599999693
2023-06-08,72039.09599999693
2023-06-09,72039.09599999693
2023-06-12,72039.09599999693
2023-06-13,72039.09599999693
2023-06-14,72039.09599999693
2023-06-15,72039.09599999693
2023-06-16,72039.09599999693
2023-06-19,72039.09599999693
2023-06-20,72039.09599999693
2023-06-21,72039.09599999693
2023-06-26,72039.09599999693
2023-06-27,72039.09599999693
2023-06-28,72039.09599999693
2023-06-29,72039.09599999693
2023-06-30,72039.09599999693
2023-07-03,72039.09599999693
2023-07-04,72039.09599999693
2023-07-05,72039.09599999693
2023-07-06,72039.09599999693
2023-07-07,72039.09599999693
2023-07-10,72039.09599999693
