datetime,product,vt_symbol,role,near,far,prev_lots,curr_lots,change
2024-03-28,IM,IM2404.CFFEX,near,IM2404.CFFEX,IM2406.CFFEX,0.0,9.0,9.0
2024-03-28,IM,IM2406.CFFEX,far,IM2404.CFFEX,IM2406.CFFEX,0.0,-9.0,-9.0
2024-04-01,IM,IM2404.CFFEX,near,IM2404.CFFEX,IM2404.CFFEX,9.0,0.0,-9.0
2024-04-01,IM,IM2406.CFFEX,unknown,IM2404.CFFEX,IM2404.CFFEX,-9.0,0.0,9.0
2024-05-06,IM,IM2406.CFFEX,near,IM2406.CFFEX,IM2409.CFFEX,0.0,9.0,9.0
2024-05-06,IM,IM2409.CFFEX,far,IM2406.CFFEX,IM2409.CFFEX,0.0,-9.0,-9.0
2024-06-18,IM,IM2406.CFFEX,near,IM2406.CFFEX,IM2406.CFFEX,9.0,0.0,-9.0
2024-06-18,IM,IM2409.CFFEX,unknown,IM2406.CFFEX,IM2406.CFFEX,-9.0,0.0,9.0
2024-06-20,IM,IM2406.CFFEX,near,IM2406.CFFEX,IM2407.CFFEX,0.0,9.0,9.0
2024-06-20,IM,IM2407.CFFEX,far,IM2406.CFFEX,IM2407.CFFEX,0.0,-9.0,-9.0
2024-06-21,IM,IM2406.CFFEX,unknown,IM2407.CFFEX,IM2407.CFFEX,9.0,0.0,-9.0
2024-06-21,IM,IM2407.CFFEX,near,IM2407.CFFEX,IM2407.CFFEX,-9.0,0.0,9.0
2024-08-13,IM,IM2409.CFFEX,near,IM2409.CFFEX,IM2412.CFFEX,0.0,10.0,10.0
2024-08-13,IM,IM2412.CFFEX,far,IM2409.CFFEX,IM2412.CFFEX,0.0,-10.0,-10.0
2024-09-18,IM,IM2409.CFFEX,near,IM2409.CFFEX,IM2409.CFFEX,10.0,0.0,-10.0
2024-09-18,IM,IM2412.CFFEX,unknown,IM2409.CFFEX,IM2409.CFFEX,-10.0,0.0,10.0
2024-11-01,IM,IM2412.CFFEX,near,IM2412.CFFEX,IM2503.CFFEX,0.0,8.0,8.0
2024-11-01,IM,IM2503.CFFEX,far,IM2412.CFFEX,IM2503.CFFEX,0.0,-8.0,-8.0
2024-12-17,IM,IM2412.CFFEX,near,IM2412.CFFEX,IM2412.CFFEX,8.0,0.0,-8.0
2024-12-17,IM,IM2503.CFFEX,unknown,IM2412.CFFEX,IM2412.CFFEX,-8.0,0.0,8.0
2025-02-11,IM,IM2503.CFFEX,near,IM2503.CFFEX,IM2506.CFFEX,0.0,8.0,8.0
2025-02-11,IM,IM2506.CFFEX,far,IM2503.CFFEX,IM2506.CFFEX,0.0,-8.0,-8.0
2025-03-20,IM,IM2503.CFFEX,near,IM2503.CFFEX,IM2503.CFFEX,8.0,0.0,-8.0
2025-03-20,IM,IM2506.CFFEX,unknown,IM2503.CFFEX,IM2503.CFFEX,-8.0,0.0,8.0
2025-05-06,IM,IM2506.CFFEX,near,IM2506.CFFEX,IM2509.CFFEX,0.0,8.0,8.0
2025-05-06,IM,IM2509.CFFEX,far,IM2506.CFFEX,IM2509.CFFEX,0.0,-8.0,-8.0
2025-06-19,IM,IM2506.CFFEX,near,IM2506.CFFEX,IM2506.CFFEX,8.0,0.0,-8.0
2025-06-19,IM,IM2509.CFFEX,unknown,IM2506.CFFEX,IM2506.CFFEX,-8.0,0.0,8.0
2025-08-01,IM,IM2509.CFFEX,near,IM2509.CFFEX,IM2512.CFFEX,0.0,7.0,7.0
2025-08-01,IM,IM2512.CFFEX,far,IM2509.CFFEX,IM2512.CFFEX,0.0,-7.0,-7.0
2025-09-16,IM,IM2509.CFFEX,near,IM2509.CFFEX,IM2509.CFFEX,7.0,0.0,-7.0
2025-09-16,IM,IM2512.CFFEX,unknown,IM2509.CFFEX,IM2509.CFFEX,-7.0,0.0,7.0
2025-11-03,IM,IM2512.CFFEX,near,IM2512.CFFEX,IM2603.CFFEX,0.0,6.0,6.0
2025-11-03,IM,IM2603.CFFEX,far,IM2512.CFFEX,IM2603.CFFEX,0.0,-6.0,-6.0
2025-12-16,IM,IM2512.CFFEX,near,IM2512.CFFEX,IM2512.CFFEX,6.0,0.0,-6.0
2025-12-16,IM,IM2603.CFFEX,unknown,IM2512.CFFEX,IM2512.CFFEX,-6.0,0.0,6.0
2026-02-02,IM,IM2603.CFFEX,near,IM2603.CFFEX,IM2606.CFFEX,0.0,6.0,6.0
2026-02-02,IM,IM2606.CFFEX,far,IM2603.CFFEX,IM2606.CFFEX,0.0,-6.0,-6.0
2026-03-13,IM,IM2603.CFFEX,near,IM2603.CFFEX,IM2603.CFFEX,6.0,0.0,-6.0
2026-03-13,IM,IM2606.CFFEX,unknown,IM2603.CFFEX,IM2603.CFFEX,-6.0,0.0,6.0
2026-05-06,IM,IM2606.CFFEX,near,IM2606.CFFEX,IM2609.CFFEX,0.0,5.0,5.0
2026-05-06,IM,IM2609.CFFEX,far,IM2606.CFFEX,IM2609.CFFEX,0.0,-5.0,-5.0
2026-06-15,IM,IM2606.CFFEX,near,IM2606.CFFEX,IM2606.CFFEX,5.0,0.0,-5.0
2026-06-15,IM,IM2609.CFFEX,unknown,IM2606.CFFEX,IM2606.CFFEX,-5.0,0.0,5.0
