datetime,IM.CFFEX
2023-04-28,11306.871999996954
2023-05-04,11306.871999996954
2023-05-05,11306.871999996954
2023-05-08,22616.01599999772
2023-05-09,11976.015999997224
2023-05-10,19536.015999997988
2023-05-11,14216.015999997733
2023-05-12,3576.0159999972093
2023-05-15,9456.015999996955
2023-05-16,3576.015999998468
2023-05-17,8896.01599999745
2023-05-18,4696.015999997449
2023-05-19,776.015999998468
2023-05-22,-623.9840000028053
2023-05-23,-11263.984000002034
2023-05-24,-7063.984000002034
2023-05-25,-8183.984000002289
2023-05-26,3296.0159999974494
2023-05-29,-1743.98400000306
2023-05-30,-2023.9840000028053
2023-05-31,776.0159999971947
2023-06-01,-4823.984000001532
2023-06-02,3296.0159999974494
2023-06-05,3576.0159999971947
2023-06-06,-343.9840000017866
2023-06-07,1616.015999997704
2023-06-08,-903.9840000025506
2023-06-09,10296.01599999745
2023-06-12,7496.015999997449
2023-06-13,5256.01599999694
2023-06-14,-2169.5000000030595
2023-06-15,-2169.5000000030595
2023-06-16,-2169.5000000030595
2023-06-19,-2169.5000000030595
2023-06-20,-2169.5000000030595
2023-06-21,-2169.5000000030595
2023-06-26,-2169.5000000030595
2023-06-27,-2169.5000000030595
2023-06-28,-2169.5000000030595
2023-06-29,-2169.5000000030595
2023-06-30,-2169.5000000030595
2023-07-03,-2169.5000000030595
2023-07-04,-2169.5000000030595
2023-07-05,-2169.5000000030595
2023-07-06,-2169.5000000030595
2023-07-07,-2169.5000000030595
2023-07-10,-2169.5000000030595
2023-07-11,-2169.5000000030595
2023-07-12,-2169.5000000030595
2023-07-13,-2169.5000000030595
2023-07-14,-2169.5000000030595
2023-07-17,-2169.5000000030595
2023-07-18,-2169.5000000030595
2023-07-19,-2169.5000000030595
2023-07-20,-2169.5000000030595
2023-07-21,-2169.5000000030595
2023-07-24,-2169.5000000030595
2023-07-25,-2169.5000000030595
2023-07-26,-2169.5000000030595
2023-07-27,-2169.5000000030595
2023-07-28,-2169.5000000030595
2023-07-31,-2169.5000000030595
2023-08-01,-2169.5000000030595
2023-08-02,-2169.5000000030595
2023-08-03,-2169.5000000030595
2023-08-04,-2169.5000000030595
