datetime,balance,drawdown,ddpercent
2023-01-18,10016800.359999998,-116593.3440000005,-0.011505853557626712
2023-01-19,10016800.359999998,-116593.3440000005,-0.011505853557626712
2023-01-20,10016800.359999998,-116593.3440000005,-0.011505853557626712
2023-01-30,10016800.359999998,-116593.3440000005,-0.011505853557626712
2023-01-31,10016800.359999998,-116593.3440000005,-0.011505853557626712
2023-02-01,10016800.359999998,-116593.3440000005,-0.011505853557626712
2023-02-02,10012350.879999997,-121042.82400000095,-0.011944944362738142
2023-02-03,10024670.879999997,-108722.82400000095,-0.01072916213223654
2023-02-06,10026630.879999997,-106762.82400000095,-0.010535742231929468
2023-02-07,10019350.879999997,-114042.82400000095,-0.011254159004498596
2023-02-08,10015710.879999997,-117682.82400000095,-0.011613367390783159
2023-02-09,10004510.879999997,-128882.82400000095,-0.012718623963966433
2023-02-10,10006190.879999997,-127202.82400000095,-0.012552835477988942
2023-02-13,10009550.879999997,-123842.82400000095,-0.01222125850603396
2023-02-14,10007030.879999997,-126362.82400000095,-0.012469941235000196
2023-02-15,10015710.879999995,-117682.82400000282,-0.011613367390783343
2023-02-16,10009550.879999997,-123842.82400000095,-0.01222125850603396
2023-02-17,10004230.879999997,-129162.82400000095,-0.012746255378296016
2023-02-20,10030270.879999997,-103122.82400000095,-0.010176533845644903
2023-02-21,10018230.879999997,-115162.82400000095,-0.011364684661816922
2023-02-22,10034750.879999997,-98642.82400000095,-0.009734431216371594
2023-02-23,10028310.879999997,-105082.82400000095,-0.010369953745951977
2023-02-24,10026350.879999997,-107042.82400000095,-0.010563373646259049
2023-02-27,10034470.879999997,-98922.82400000095,-0.009762062630701175
2023-02-28,10028030.879999997,-105362.82400000095,-0.010397585160281558
2023-03-01,10021870.879999997,-111522.82400000095,-0.01100547627553236
2023-03-02,10020470.879999997,-112922.82400000095,-0.011143633347180269
2023-03-03,10018230.879999997,-115162.82400000095,-0.011364684661816922
2023-03-06,10028310.879999995,-105082.82400000282,-0.01036995374595216
2023-03-07,10018510.879999997,-114882.82400000095,-0.011337053247487341
2023-03-08,10024670.879999997,-108722.82400000095,-0.01072916213223654
2023-03-09,10028030.879999997,-105362.82400000095,-0.010397585160281558
2023-03-10,10019910.879999995,-113482.82400000282,-0.011198896175839615
2023-03-13,10025790.879999997,-107602.82400000095,-0.010618636474918213
2023-03-14,10020470.879999997,-112922.82400000095,-0.011143633347180269
2023-03-15,10010950.879999997,-122442.82400000095,-0.01208310143438605
2023-03-16,10011306.871999998,-122086.8320000004,-0.012047970854207366
2023-03-17,10011306.871999998,-122086.8320000004,-0.012047970854207366
2023-03-20,10011306.871999998,-122086.8320000004,-0.012047970854207366
2023-03-21,10011306.871999998,-122086.8320000004,-0.012047970854207366
2023-03-22,10011306.871999998,-122086.8320000004,-0.012047970854207366
2023-03-23,10011306.871999998,-122086.8320000004,-0.012047970854207366
2023-03-24,10011306.871999998,-122086.8320000004,-0.012047970854207366
2023-03-27,10011306.871999998,-122086.8320000004,-0.012047970854207366
2023-03-28,10011306.871999998,-122086.8320000004,-0.012047970854207366
2023-03-29,10011306.871999998,-122086.8320000004,-0.012047970854207366
2023-03-30,10011306.871999998,-122086.8320000004,-0.012047970854207366
2023-03-31,10011306.871999998,-122086.8320000004,-0.012047970854207366
2023-04-03,10011306.871999998,-122086.8320000004,-0.012047970854207366
2023-04-04,10011306.871999998,-122086.8320000004,-0.012047970854207366
2023-04-06,10011306.871999998,-122086.8320000004,-0.012047970854207366
2023-04-07,10011306.871999998,-122086.8320000004,-0.012047970854207366
2023-04-10,10011306.871999998,-122086.8320000004,-0.012047970854207366
2023-04-11,10011306.871999998,-122086.8320000004,-0.012047970854207366
2023-04-12,10011306.871999998,-122086.8320000004,-0.012047970854207366
2023-04-13,10011306.871999998,-122086.8320000004,-0.012047970854207366
2023-04-14,10011306.871999998,-122086.8320000004,-0.012047970854207366
2023-04-17,10011306.871999998,-122086.8320000004,-0.012047970854207366
2023-04-18,10011306.871999998,-122086.8320000004,-0.012047970854207366
2023-04-19,10011306.871999998,-122086.8320000004,-0.012047970854207366
2023-04-20,10011306.871999998,-122086.8320000004,-0.012047970854207366
2023-04-21,10011306.871999998,-122086.8320000004,-0.012047970854207366
2023-04-24,10011306.871999998,-122086.8320000004,-0.012047970854207366
2023-04-25,10011306.871999998,-122086.8320000004,-0.012047970854207366
2023-04-26,10011306.871999998,-122086.8320000004,-0.012047970854207366
2023-04-27,10011306.871999998,-122086.8320000004,-0.012047970854207366
2023-04-28,10011306.871999998,-122086.8320000004,-0.012047970854207366
2023-05-04,10011306.871999998,-122086.8320000004,-0.012047970854207366
2023-05-05,10011306.871999998,-122086.8320000004,-0.012047970854207366
2023-05-08,10022616.015999997,-110777.68800000101,-0.010931943555718481
2023-05-09,10011976.015999997,-121417.68800000101,-0.011981937300242591
2023-05-10,10019536.015999999,-113857.68799999915,-0.011235889113343698
2023-05-11,10014216.015999997,-119177.68800000101,-0.011760885985605938
2023-05-12,10003576.015999997,-129817.68800000101,-0.012810879730130047
2023-05-15,10009456.015999997,-123937.68800000101,-0.01223062002920883
2023-05-16,10003576.015999999,-129817.68799999915,-0.012810879730129864
2023-05-17,10008896.015999997,-124497.68800000101,-0.012285882857867992
2023-05-18,10004696.015999997,-128697.68800000101,-0.012700354072811719
2023-05-19,10000776.015999999,-132617.68799999915,-0.013087193873425681
2023-05-22,9999376.015999997,-134017.688000001,-0.013225350945073775
2023-05-23,9988736.015999999,-144657.68799999915,-0.0142753446895977
2023-05-24,9992936.015999999,-140457.68799999915,-0.013860873474653973
2023-05-25,9991816.015999997,-141577.688000001,-0.013971399131972484
2023-05-26,10003296.015999997,-130097.68800000101,-0.012838511144459629
2023-05-29,9998256.015999997,-135137.688000001,-0.013335876602392101
2023-05-30,9997976.015999997,-135417.688000001,-0.013363508016721684
2023-05-31,10000776.015999997,-132617.688000001,-0.013087193873425865
2023-06-01,9995176.015999999,-138217.68799999915,-0.013639822160017318
2023-06-02,10003296.015999997,-130097.68800000101,-0.012838511144459629
2023-06-05,10003576.015999997,-129817.68800000101,-0.012810879730130047
2023-06-06,9999656.015999999,-133737.68799999915,-0.01319771953074401
2023-06-07,10001616.015999997,-131777.688000001,-0.01300429963043712
2023-06-08,9999096.015999997,-134297.688000001,-0.013252982359403356
2023-06-09,10010296.015999997,-123097.68800000101,-0.012147725786220082
2023-06-12,10007496.015999997,-125897.68800000101,-0.012424039929515901
2023-06-13,10005256.015999997,-128137.68800000101,-0.012645091244152556
2023-06-14,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-06-15,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-06-16,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-06-19,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-06-20,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-06-21,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-06-26,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-06-27,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-06-28,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-06-29,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-06-30,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-07-03,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-07-04,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-07-05,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-07-06,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-07-07,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-07-10,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-07-11,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-07-12,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-07-13,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-07-14,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-07-17,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-07-18,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-07-19,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-07-20,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-07-21,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-07-24,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-07-25,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-07-26,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-07-27,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-07-28,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-07-31,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-08-01,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-08-02,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-08-03,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-08-04,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-08-07,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-08-08,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-08-09,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-08-10,9997830.499999996,-135563.20400000177,-0.013377868062748842
2023-08-11,9999108.839999998,-134284.86400000006,-0.013251716840626968
2023-08-14,10006388.839999998,-127004.86400000006,-0.01253330006805784
2023-08-15,9997148.839999998,-136244.86400000006,-0.01344513674093404
2023-08-16,9995188.839999998,-138204.86400000006,-0.013638556641241114
2023-08-17,9999388.839999998,-134004.86400000006,-0.013224085426297386
2023-08-18,9987628.839999996,-145764.86400000192,-0.014384604828140007
2023-08-21,9988188.839999998,-145204.86400000006,-0.01432934199948066
2023-08-22,9996868.839999998,-136524.86400000006,-0.013472768155263623
2023-08-23,9995188.839999998,-138204.86400000006,-0.013638556641241114
2023-08-24,10003308.839999998,-130084.86400000006,-0.01283724562568324
2023-08-25,9991828.839999998,-141564.86400000006,-0.013970133613196095
2023-08-28,10008908.839999998,-124484.86400000006,-0.012284617339091603
2023-08-29,9992948.839999998,-140444.86400000006,-0.013859607955877769
2023-08-30,9994348.839999998,-139044.86400000006,-0.013721450884229859
2023-08-31,9994908.839999998,-138484.86400000006,-0.013666188055570695
2023-09-01,9994068.839999998,-139324.86400000006,-0.01374908229855944
2023-09-04,9998548.839999998,-134844.86400000006,-0.013306979669286132
2023-09-05,10004148.839999998,-129244.86400000006,-0.012754351382694495
2023-09-06,10000788.839999998,-132604.86400000006,-0.013085928354649477
2023-09-07,10007228.839999996,-126164.86400000192,-0.012450405825069278
2023-09-08,10008348.839999998,-125044.86400000006,-0.012339880167750767
2023-09-11,10011428.839999996,-121964.86400000192,-0.01203593461012555
2023-09-12,10006948.839999998,-126444.86400000006,-0.012478037239398675
2023-09-13,9995426.027999997,-137967.6760000009,-0.013615150070162608
2023-09-14,9995426.027999997,-137967.6760000009,-0.013615150070162608
2023-09-15,9995426.027999997,-137967.6760000009,-0.013615150070162608
2023-09-18,9995426.027999997,-137967.6760000009,-0.013615150070162608
2023-09-19,9995426.027999997,-137967.6760000009,-0.013615150070162608
2023-09-20,9995426.027999997,-137967.6760000009,-0.013615150070162608
2023-09-21,9995426.027999997,-137967.6760000009,-0.013615150070162608
2023-09-22,9995426.027999997,-137967.6760000009,-0.013615150070162608
2023-09-25,9995426.027999997,-137967.6760000009,-0.013615150070162608
2023-09-26,9995426.027999997,-137967.6760000009,-0.013615150070162608
2023-09-27,9995426.027999997,-137967.6760000009,-0.013615150070162608
2023-09-28,9995426.027999997,-137967.6760000009,-0.013615150070162608
2023-10-09,9995426.027999997,-137967.6760000009,-0.013615150070162608
2023-10-10,9995426.027999997,-137967.6760000009,-0.013615150070162608
2023-10-11,9995426.027999997,-137967.6760000009,-0.013615150070162608
2023-10-12,9995426.027999997,-137967.6760000009,-0.013615150070162608
2023-10-13,9995426.027999997,-137967.6760000009,-0.013615150070162608
2023-10-16,9995426.027999997,-137967.6760000009,-0.013615150070162608
2023-10-17,9995426.027999997,-137967.6760000009,-0.013615150070162608
2023-10-18,9995426.027999997,-137967.6760000009,-0.013615150070162608
2023-10-19,9995426.027999997,-137967.6760000009,-0.013615150070162608
2023-10-20,9995426.027999997,-137967.6760000009,-0.013615150070162608
2023-10-23,9995426.027999997,-137967.6760000009,-0.013615150070162608
2023-10-24,9995426.027999997,-137967.6760000009,-0.013615150070162608
2023-10-25,9995426.027999997,-137967.6760000009,-0.013615150070162608
2023-10-26,9995426.027999997,-137967.6760000009,-0.013615150070162608
2023-10-27,9995426.027999997,-137967.6760000009,-0.013615150070162608
