factor_name,full_annual_return,full_sharpe_ratio,full_max_drawdown,full_calmar_ratio,full_win_rate,full_final_nav,annual_return,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,return_diff,sharpe_diff,dd_diff
oi_change,0.06391997394970939,1.0557071094780903,-0.000955176618079993,66.9195337697811,0.5218827415359207,1.34716035985,-1.5936851609490907,-0.5310318680303766,-1.3366302299818753,-1.1923156645729172,0.5272277227722773,1.6576051348988001,1.586738977508467,1.3356750533637953
overnight_momentum_889,0.028901800318603454,0.3628961189764479,-0.001195836017246271,24.16869863575233,0.5210569777043765,1.1468660510000002,-0.2572712345409391,-0.209987414380407,-1.2933941467793275,-0.1989117046660281,0.5107260726072608,0.28617303485954254,0.5728835333568549,1.2921983107620811
overnight_momentum,-0.05776600659616071,-0.3854892559818099,-0.003647026029224678,-15.839208750709465,0.4772914946325351,0.7511315107500005,-0.1203259341756134,-0.0694301710417699,-1.8242897798403916,-0.0659576869340027,0.4843234323432343,0.06255992757945268,-0.31605908494004,1.820642753811167
parkinson_volatility_889,-0.011206115326533261,-0.0501969975665991,-0.003014787261643066,-3.7170501113322016,0.47398843930635837,0.9472423203,-1.3721180610288006,-0.5101011445832703,-1.0142777641331124,-1.352803058047446,0.4645214521452145,1.3609119457022674,0.45990414701667115,1.0112629768714694
parkinson_volatility,-0.05663349314257693,-0.2404456643701519,-0.004908230961265833,-11.53847355381401,0.48307184145334436,0.7554835912999995,0.3736238104715307,0.1424078800541492,-1.0253385500391468,0.3643906790174485,0.4843234323432343,-0.43025730361410763,-0.3828535444243011,1.020430319077881
reversal_889,0.019166749268793914,0.23741230795918333,-0.002314565888881851,8.280926181822036,0.5152766308835673,1.0956092943999995,1.676438929605108,0.4720816118704425,-0.9418208939268128,1.779997598710505,0.5107260726072608,-1.6572721803363142,-0.23466930391125917,0.9395063280379309
reversal,-0.05873045037866775,-0.3402806825176318,-0.0037420608413149007,-15.694680783979665,0.5053674649050371,0.7474409745500002,1.863645313836417,0.4190205197000554,-0.9297876363001945,2.004377387993912,0.5016501650165016,-1.9223757642150847,-0.7593012022176873,0.9260455754588796
rsi_momentum_889,0.025944839941663966,0.3176793527751638,-0.002238887953234842,11.588270821761197,0.4995871180842279,1.1311005099499998,0.6927532647921567,0.5538294143608335,-0.778294773694156,0.8900911174104655,0.5024752475247525,-0.6668084248504927,-0.23615006158566976,0.7760558857409212
rsi_momentum,-0.009167765211110068,-0.03483183232791308,-0.0031357793750785663,-2.923600200948567,0.5037159372419489,0.9566707944500005,0.9208118764952344,0.4717422905507299,-0.8632665791641998,1.0666599387952087,0.4826732673267326,-0.9299796417063445,-0.506574122878643,0.8601307997891212
sharpe_ratio_889,0.00954725627874331,0.14260179490246655,-0.0022999133384202283,4.15113740124711,0.5210569777043765,1.0467602806000003,1.8841870036375832,0.8479211206512143,-3.840625104985389,0.4905938361939523,0.5239273927392739,-1.8746397473588399,-0.7053193257487478,3.8383251916469687
sharpe_ratio,-0.09088214029816188,-0.6297304909686763,-0.004846895274573745,-18.750588809896335,0.49380677126341865,0.6323868298000006,1.884681990936555,0.8654417647267842,-18.36319807244744,0.1026336471186015,0.4909240924092409,-1.975564131234717,-1.4951722556954605,18.358351177172864
skew_180_889,0.019769638561056402,0.2648698551781778,-0.0014440319675829841,13.690582345034063,0.43765483071841454,1.0987299040999998,-1.914758330052304,-0.7273713546199991,-1.022710632312815,-1.8722386074369464,0.4356435643564356,1.9345279686133603,0.992241209798177,1.021266600345232
